,Type of Account,Account History,Reason for the Loan,Loan Amount,Account Savings,Employment History,Individual Stauts,Other Loans,Security / Collateral,Age,Residence Status,Job,Completed Other loan?,Good Loan
0,No Data,critical,Learning / Edu purposes,2116.0,0-200,5-7 Years,Male,No,Property - Real Estate,47.0,House Owner,Services,No,No
1,No Data,critical,TV,2438.0,No Data,7+ Years,Male,No,Savings Account,52.0,House Owner,Skilled Labor,No,No
2,No Data,critical,Buying a New Car,2144.0,0-200,2-5 Years,Male,No,Vehicle,48.0,House Owner,Skilled Labor,No,No
3,No Data,critical,Home furniture,2073.0,No Data,2-5 Years,Married,No,Vehicle,25.0,House Owner,Skilled Labor,Yes,No
4,No Data,critical,Support for Business,1276.0,No Data,7+ Years,Male,No,No Security,59.0,Renting,Services,No,No
5,No Data,critical,Learning / Edu purposes,6130.0,0-200,2-5 Years,Male,No,No Security,30.0,Free,Skilled Labor,No,No
6,No Data,critical,Buying a New Car,1394.0,0-200,0-2 Years,Female,No,Vehicle,37.0,House Owner,Professional / Management,No,No
7,No Data,critical,Buying a New Car,7242.0,0-200,2-5 Years,Male,No,Savings Account,41.0,House Owner,Services,No,No
8,No Data,critical,TV,9581.0,0-200,2-5 Years,Female,No,Vehicle,31.0,House Owner,Skilled Labor,No,No
9,No Data,critical,TV,734.0,No Data,7+ Years,Male,No,Savings Account,44.0,Renting,Services,No,No
10,No Data,critical,Support for Business,1421.0,0-200,2-5 Years,Female,Yes,Property - Real Estate,29.0,House Owner,Professional / Management,No,No
11,No Data,critical,TV,621.0,0-200,7+ Years,Male,No,Property - Real Estate,58.0,House Owner,Skilled Labor,No,No
12,No Data,critical,TV,816.0,No Data,7+ Years,Female,No,Savings Account,32.0,House Owner,Services,No,No
13,No Data,critical,Learning / Edu purposes,2017.0,No Data,5-7 Years,Female,No,Vehicle,61.0,House Owner,Skilled Labor,No,No
14,No Data,critical,Buying a New Car,7873.0,0-200,2-5 Years,Female,No,Property - Real Estate,24.0,House Owner,Skilled Labor,No,No
15,No Data,critical,TV,3579.0,No Data,7+ Years,Male,No,Property - Real Estate,45.0,House Owner,Skilled Labor,No,Yes
16,No Data,critical,Buying a Used Car,3869.0,0-200,7+ Years,Female,No,Vehicle,42.0,Renting,Professional / Management,No,No
17,No Data,critical,TV,1259.0,No Data,7+ Years,Female,No,Property - Real Estate,38.0,House Owner,Skilled Labor,No,Yes
18,No Data,critical,Home furniture,2289.0,0-200,0-2 Years,Female,No,Savings Account,25.0,House Owner,Skilled Labor,No,No
19,No Data,critical,Buying a New Car,699.0,200-500,5-7 Years,Female,No,Vehicle,50.0,House Owner,Skilled Labor,No,Yes
20,No Data,critical,TV,1595.0,1000+,7+ Years,Male,No,Vehicle,46.0,House Owner,Skilled Labor,No,Yes
21,No Data,critical,TV,1917.0,No Data,2-5 Years,Male,No,Property - Real Estate,34.0,House Owner,Services,No,Yes
22,No Data,critical,TV,2875.0,200-500,7+ Years,Male,No,Property - Real Estate,34.0,House Owner,Skilled Labor,No,No
23,No Data,critical,Buying a New Car,1071.0,0-200,0-2 Years,Female,No,Savings Account,31.0,House Owner,Skilled Labor,No,No
24,No Data,critical,Home furniture,3785.0,1000+,2-5 Years,Male,No,Property - Real Estate,51.0,House Owner,Skilled Labor,No,No
25,No Data,critical,TV,1377.0,0-200,2-5 Years,Male,No,Savings Account,30.0,House Owner,Skilled Labor,No,No
26,No Data,critical,TV,1394.0,0-200,2-5 Years,Female,No,Vehicle,26.0,House Owner,Skilled Labor,No,No
27,No Data,critical,Learning / Edu purposes,950.0,500-1000,7+ Years,Male,No,Vehicle,54.0,House Owner,Skilled Labor,No,No
28,No Data,critical,Buying a New Car,1511.0,0-200,7+ Years,Male,No,Property - Real Estate,39.0,House Owner,Services,No,No
29,No Data,critical,Home furniture,1954.0,0-200,7+ Years,Male,No,Property - Real Estate,43.0,House Owner,Skilled Labor,No,No
30,No Data,critical,TV,3080.0,No Data,2-5 Years,Male,No,Property - Real Estate,35.0,House Owner,Skilled Labor,No,No
31,No Data,critical,TV,3359.0,No Data,7+ Years,Male,No,Vehicle,50.0,House Owner,Skilled Labor,No,No
32,No Data,critical,TV,1554.0,0-200,5-7 Years,Male,No,Property - Real Estate,42.0,House Owner,Services,No,No
33,No Data,critical,TV,1295.0,0-200,2-5 Years,Female,No,Savings Account,35.0,House Owner,Skilled Labor,No,No
34,No Data,critical,Support for Business,1189.0,0-200,2-5 Years,Female,No,Property - Real Estate,29.0,House Owner,Skilled Labor,No,No
35,No Data,critical,TV,727.0,0-200,7+ Years,Male,No,Property - Real Estate,51.0,House Owner,Skilled Labor,No,No
36,No Data,critical,TV,2694.0,0-200,2-5 Years,Male,No,Property - Real Estate,37.0,House Owner,Services,No,No
37,No Data,critical,TV,1172.0,200-500,Unemployed,Female,No,Property - Real Estate,55.0,House Owner,Services,No,Yes
38,No Data,critical,Learning / Edu purposes,2750.0,0-200,7+ Years,Female,No,No Security,59.0,Free,Services,No,No
39,No Data,critical,Buying a New Car,1235.0,0-200,7+ Years,Male,No,Property - Real Estate,33.0,House Owner,Services,Yes,No
40,No Data,critical,Support for Business,6324.0,No Data,7+ Years,Male,No,Property - Real Estate,38.0,House Owner,Skilled Labor,No,Yes
41,No Data,critical,Home furniture,1403.0,500-1000,5-7 Years,Female,No,Vehicle,37.0,Renting,Skilled Labor,No,No
42,No Data,critical,TV,2409.0,0-200,2-5 Years,Female,No,Vehicle,28.0,House Owner,Skilled Labor,No,No
43,No Data,critical,Buying a Used Car,3373.0,1000+,7+ Years,Male,No,No Security,21.0,Renting,Skilled Labor,No,No
44,No Data,critical,Home furniture,1525.0,No Data,7+ Years,Male,No,Savings Account,62.0,House Owner,Skilled Labor,No,No
45,No Data,critical,Support for Business,7643.0,No Data,7+ Years,Divorced,No,Vehicle,47.0,House Owner,Professional / Management,No,No
46,No Data,critical,Buying a New Car,10141.0,500-1000,2-5 Years,Male,No,No Security,45.0,Free,Skilled Labor,No,No
47,No Data,critical,Learning / Edu purposes,711.0,0-200,2-5 Years,Male,No,Vehicle,33.0,House Owner,Skilled Labor,No,No
48,No Data,critical,Buying a New Car,1046.0,0-200,2-5 Years,Female,No,Property - Real Estate,35.0,House Owner,Skilled Labor,No,No
49,No Data,critical,Home furniture,5819.0,No Data,7+ Years,Male,No,Savings Account,51.0,Renting,Skilled Labor,No,No
50,No Data,critical,Learning / Edu purposes,1873.0,200-500,2-5 Years,Female,No,Property - Real Estate,29.0,House Owner,Skilled Labor,No,No
51,No Data,critical,Buying a Used Car,11596.0,200-500,2-5 Years,Female,No,Vehicle,26.0,Renting,Services,No,No
52,No Data,critical,TV,1464.0,0-200,2-5 Years,Female,No,Vehicle,41.0,House Owner,Services,No,No
53,No Data,critical,Buying a Used Car,3234.0,No Data,Unemployed,Male,No,No Security,38.0,House Owner,Professional / Management,No,No
54,No Data,critical,TV,2351.0,No Data,7+ Years,Male,Yes,Property - Real Estate,51.0,House Owner,Skilled Labor,No,No
55,No Data,critical,Buying a Used Car,3862.0,0-200,5-7 Years,Male,No,Vehicle,29.0,House Owner,Skilled Labor,No,No
56,No Data,critical,TV,6082.0,0-200,7+ Years,Male,No,Vehicle,34.0,House Owner,Skilled Labor,No,No
57,No Data,critical,Home furniture,2151.0,0-200,0-2 Years,Female,No,Property - Real Estate,24.0,Renting,Skilled Labor,No,No
58,No Data,critical,Buying a New Car,13771.0,No Data,7+ Years,Male,No,No Security,65.0,Free,Professional / Management,No,Yes
